Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,3,13,5,0,"
"
1965,3,15,9,1,"
"
1966,1,16,11,1,"
"
1967,4,13,6,0,"
"
1968,2,11,6,0,"
"
1969,3,26,8,1,"
"
1970,0,13,10,1,"
"
1971,3,11,7,2,"
"
1972,6,12,15,0,"
"
1973,0,7,12,0,"
"
1974,1,5,10,1,"
"
1975,4,15,8,1,"
"
1976,1,6,15,1,"
"
1977,1,10,6,0,"
"
1978,1,12,3,1,"
"
1979,0,2,6,1,"
"
1980,1,10,21,2,"
"
1981,0,4,13,0,"
"
1982,1,16,4,1,"
"
1983,5,15,12,2,"
"
1984,0,15,15,0,"
"
1985,11,26,10,0,"
"
1986,0,11,16,1,"
"
1987,0,8,18,6,"
"
1988,0,7,21,1,"
"
1989,5,11,14,0,"
"
1990,3,11,16,2,"
"
1991,3,10,18,0,"
"
1992,1,14,17,2,"
"
1993,0,20,7,1,"
"
1994,0,7,20,0,"
"
1995,3,16,19,4,"
"
1996,7,31,20,1,"
"
1997,2,14,24,3,"
"
1998,2,5,17,0,"
"
1999,1,12,8,4,"
"
2000,2,7,12,0,"
"
2001,0,3,18,1,"
"
2002,4,16,14,2,"
"
2003,4,8,24,1,"
"
2004,1,15,9,1,"
"
2005,1,9,15,2,"
"
2006,3,5,13,0,"
"
2007,0,7,19,4,"
"
2008,4,8,9,0,"
"
2009,8,10,7,0,"
"
2010,3,12,14,0,"
"
2011,1,8,8,1,"
"
2012,0,12,18,3,"
"
2013,0,0,0,0,"
"
2014,0,0,0,0,"
"
