Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,0,8,17,0,"
"
1965,0,4,7,0,"
"
1966,0,9,6,0,"
"
1967,2,12,19,0,"
"
1968,3,14,4,0,"
"
1969,0,5,11,0,"
"
1970,2,2,17,3,"
"
1971,1,8,16,3,"
"
1972,0,5,14,1,"
"
1973,0,11,5,0,"
"
1974,0,5,28,0,"
"
1975,0,2,2,0,"
"
1976,0,4,0,0,"
"
1977,1,7,7,0,"
"
1978,0,6,7,1,"
"
1979,1,5,5,0,"
"
1980,2,6,4,0,"
"
1981,4,13,15,0,"
"
1982,2,43,8,2,"
"
1983,3,5,2,0,"
"
1984,0,8,2,1,"
"
1985,0,4,15,0,"
"
1986,0,4,14,1,"
"
1987,2,6,8,0,"
"
1988,0,4,0,0,"
"
1989,0,8,12,0,"
"
1990,0,0,7,0,"
"
1991,0,5,15,0,"
"
1992,3,1,1,0,"
"
1993,0,6,3,0,"
"
1994,0,4,7,0,"
"
1995,0,13,18,0,"
"
1996,3,6,7,0,"
"
1997,0,3,7,4,"
"
1998,0,4,19,0,"
"
1999,0,3,10,1,"
"
2000,0,3,10,0,"
"
2001,0,7,8,0,"
"
2002,0,6,6,0,"
"
2003,0,2,5,0,"
"
2004,0,0,14,1,"
"
2005,0,2,1,0,"
"
2006,0,0,0,0,"
"
2007,0,1,3,0,"
"
2008,1,11,10,0,"
"
2009,2,7,10,0,"
"
2010,4,8,23,0,"
"
2011,0,5,21,1,"
"
2012,0,5,21,0,"
"
2013,1,7,10,0,"
"
2014,0,0,0,0,"
"
