Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,3,9,7,0,"
"
1965,1,8,18,1,"
"
1966,0,6,17,2,"
"
1967,3,2,7,0,"
"
1968,2,16,4,0,"
"
1969,5,19,6,0,"
"
1970,1,4,9,0,"
"
1971,2,8,8,2,"
"
1972,7,19,11,0,"
"
1973,3,9,4,0,"
"
1974,0,3,9,0,"
"
1975,2,8,5,1,"
"
1976,2,4,13,0,"
"
1977,2,6,8,0,"
"
1978,4,11,12,1,"
"
1979,0,8,11,1,"
"
1980,0,6,21,6,"
"
1981,1,6,14,1,"
"
1982,3,9,5,2,"
"
1983,7,12,12,2,"
"
1984,2,10,15,0,"
"
1985,11,12,15,0,"
"
1986,0,10,12,6,"
"
1987,0,11,24,2,"
"
1988,0,3,28,2,"
"
1989,7,10,10,0,"
"
1990,2,2,19,2,"
"
1991,3,5,10,2,"
"
1992,5,9,12,1,"
"
1993,1,4,5,0,"
"
1994,0,1,6,0,"
"
1995,2,2,6,0,"
"
1996,1,1,9,0,"
"
1997,1,2,2,0,"
"
1998,1,5,8,0,"
"
1999,0,5,8,0,"
"
2000,1,1,2,0,"
"
2001,1,1,8,1,"
"
2002,6,16,6,1,"
"
2003,2,5,18,1,"
"
2004,1,7,10,0,"
"
2005,1,11,15,3,"
"
2006,3,4,20,1,"
"
2007,0,2,24,5,"
"
2008,1,9,8,2,"
"
2009,5,12,8,0,"
"
2010,4,10,14,0,"
"
2011,2,6,6,0,"
"
2012,0,2,20,3,"
"
2013,3,6,11,1,"
"
2014,0,0,0,0,"
"
