Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,6,21,6,1,"
"
1965,3,14,8,0,"
"
1966,1,8,4,0,"
"
1967,0,13,10,1,"
"
1968,4,9,10,0,"
"
1969,0,11,11,0,"
"
1970,0,8,15,1,"
"
1971,3,10,10,2,"
"
1972,12,18,2,0,"
"
1973,0,14,6,0,"
"
1974,2,5,3,1,"
"
1975,5,13,2,0,"
"
1976,1,9,1,0,"
"
1977,0,16,17,1,"
"
1978,2,6,10,1,"
"
1979,1,8,20,0,"
"
1980,0,2,19,1,"
"
1981,0,1,25,2,"
"
1982,3,9,12,1,"
"
1983,0,0,13,1,"
"
1984,0,5,8,1,"
"
1985,0,9,16,1,"
"
1986,0,0,18,2,"
"
1987,0,0,17,1,"
"
1988,0,3,22,2,"
"
1989,5,9,9,3,"
"
1990,6,9,23,6,"
"
1991,1,5,14,0,"
"
1992,0,8,30,3,"
"
1993,0,11,11,0,"
"
1994,1,5,8,0,"
"
1995,0,8,19,1,"
"
1996,0,8,13,0,"
"
1997,0,10,5,1,"
"
1998,0,1,2,0,"
"
1999,0,0,0,0,"
"
2000,0,0,0,0,"
"
2001,1,8,10,0,"
"
2002,1,11,1,0,"
"
2003,0,11,5,0,"
"
2004,0,0,9,1,"
"
2005,0,9,3,0,"
"
2006,0,4,3,1,"
"
2007,0,12,16,0,"
"
2008,0,7,8,0,"
"
2009,1,12,16,0,"
"
2010,1,6,8,3,"
"
2011,1,4,2,0,"
"
2012,0,11,18,3,"
"
2013,4,11,18,1,"
"
2014,0,0,0,0,"
"
