Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,5,17,13,1,"
"
1965,6,15,9,0,"
"
1966,3,11,14,0,"
"
1967,1,8,13,0,"
"
1968,1,16,5,0,"
"
1969,3,12,15,0,"
"
1970,0,19,8,0,"
"
1971,8,14,5,0,"
"
1972,4,14,15,1,"
"
1973,0,8,7,0,"
"
1974,0,9,10,0,"
"
1975,3,16,11,0,"
"
1976,1,12,10,0,"
"
1977,0,11,15,0,"
"
1978,3,14,11,0,"
"
1979,3,10,21,0,"
"
1980,0,7,24,0,"
"
1981,0,3,25,0,"
"
1982,2,17,8,0,"
"
1983,1,11,10,0,"
"
1984,0,16,5,0,"
"
1985,5,19,8,0,"
"
1986,0,5,32,0,"
"
1987,1,9,22,0,"
"
1988,3,5,14,2,"
"
1989,4,6,23,2,"
"
1990,6,10,28,0,"
"
1991,3,6,11,0,"
"
1992,0,12,13,1,"
"
1993,1,19,5,0,"
"
1994,2,6,18,0,"
"
1995,1,14,9,2,"
"
1996,0,4,28,0,"
"
1997,0,12,13,1,"
"
1998,3,2,13,1,"
"
1999,1,14,19,0,"
"
2000,0,13,22,2,"
"
2001,1,8,18,1,"
"
2002,3,10,16,0,"
"
2003,2,4,24,3,"
"
2004,1,8,18,1,"
"
2005,0,1,16,0,"
"
2006,3,11,12,0,"
"
2007,2,12,23,1,"
"
2008,1,12,8,1,"
"
2009,3,10,10,0,"
"
2010,4,15,16,2,"
"
2011,2,8,8,0,"
"
2012,1,4,31,1,"
"
2013,5,8,15,0,"
"
2014,0,0,0,0,"
"
