Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,4,10,6,1,"
"
1965,3,12,6,0,"
"
1966,1,10,10,0,"
"
1967,2,12,2,1,"
"
1968,1,14,2,1,"
"
1969,3,12,5,1,"
"
1970,0,12,3,0,"
"
1971,4,19,0,0,"
"
1972,4,19,2,0,"
"
1973,0,11,0,0,"
"
1974,0,7,6,2,"
"
1975,3,7,9,0,"
"
1976,2,15,8,0,"
"
1977,1,8,7,0,"
"
1978,5,17,15,0,"
"
1979,3,13,8,1,"
"
1980,0,9,11,5,"
"
1981,0,6,13,0,"
"
1982,3,12,3,1,"
"
1983,7,8,18,3,"
"
1984,2,12,5,0,"
"
1985,14,21,4,0,"
"
1986,2,9,11,0,"
"
1987,0,6,15,4,"
"
1988,0,7,29,11,"
"
1989,6,12,12,3,"
"
1990,3,4,17,1,"
"
1991,4,6,18,2,"
"
1992,0,12,24,2,"
"
1993,1,18,5,0,"
"
1994,0,4,3,1,"
"
1995,2,7,19,3,"
"
1996,2,15,10,0,"
"
1997,4,15,13,1,"
"
1998,1,9,16,0,"
"
1999,0,3,16,0,"
"
2000,0,6,10,0,"
"
2001,0,1,17,2,"
"
2002,3,7,18,6,"
"
2003,0,8,22,3,"
"
2004,0,3,13,2,"
"
2005,0,6,11,4,"
"
2006,0,5,8,1,"
"
2007,0,1,27,5,"
"
2008,0,5,15,0,"
"
2009,1,11,12,1,"
"
2010,0,5,14,0,"
"
2011,0,6,8,4,"
"
2012,0,1,14,1,"
"
2013,3,3,15,0,"
"
2014,0,0,0,0,"
"
