Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,2,8,14,2,"
"
1965,1,14,8,0,"
"
1966,0,11,6,1,"
"
1967,5,12,5,2,"
"
1968,2,9,15,1,"
"
1969,2,9,11,1,"
"
1970,2,8,12,1,"
"
1971,1,12,6,0,"
"
1972,5,18,3,0,"
"
1973,0,7,16,0,"
"
1974,3,9,3,1,"
"
1975,2,7,9,1,"
"
1976,4,17,18,1,"
"
1977,5,8,18,1,"
"
1978,1,12,15,1,"
"
1979,1,12,4,0,"
"
1980,0,6,9,2,"
"
1981,1,8,18,2,"
"
1982,2,20,4,2,"
"
1983,4,6,9,1,"
"
1984,1,16,12,0,"
"
1985,8,14,7,0,"
"
1986,1,9,7,1,"
"
1987,0,4,17,3,"
"
1988,3,13,13,4,"
"
1989,9,12,4,2,"
"
1990,3,3,13,4,"
"
1991,2,4,13,3,"
"
1992,0,10,15,0,"
"
1993,1,16,8,1,"
"
1994,4,7,13,1,"
"
1995,5,5,16,2,"
"
1996,11,14,5,3,"
"
1997,2,12,10,1,"
"
1998,0,5,22,2,"
"
1999,0,3,8,2,"
"
2000,0,7,11,2,"
"
2001,0,7,15,7,"
"
2002,2,13,11,5,"
"
2003,3,11,16,1,"
"
2004,1,18,5,0,"
"
2005,0,4,15,3,"
"
2006,0,4,24,4,"
"
2007,1,7,18,3,"
"
2008,2,7,3,3,"
"
2009,1,13,4,0,"
"
2010,0,3,14,2,"
"
2011,0,6,18,2,"
"
2012,0,2,16,5,"
"
2013,4,15,13,1,"
"
2014,0,0,0,0,"
"
