Year,Strong_Cold,Weak-Cold,Weak-Hot,Strong-Hot
1963,0,0,0,0,"
"
1964,1,18,14,1,"
"
1965,3,17,14,1,"
"
1966,1,10,7,1,"
"
1967,5,10,3,0,"
"
1968,2,6,7,1,"
"
1969,3,6,9,1,"
"
1970,3,5,4,1,"
"
1971,2,3,5,1,"
"
1972,6,17,5,0,"
"
1973,0,3,7,2,"
"
1974,1,6,7,1,"
"
1975,3,6,4,4,"
"
1976,2,10,9,2,"
"
1977,4,7,10,2,"
"
1978,5,5,11,2,"
"
1979,4,9,5,0,"
"
1980,0,7,15,11,"
"
1981,0,2,9,3,"
"
1982,5,11,2,0,"
"
1983,5,9,11,9,"
"
1984,4,11,12,3,"
"
1985,12,6,13,0,"
"
1986,0,4,10,5,"
"
1987,0,3,18,9,"
"
1988,0,5,21,18,"
"
1989,7,6,7,2,"
"
1990,5,4,14,4,"
"
1991,6,4,7,2,"
"
1992,2,9,16,6,"
"
1993,0,11,2,0,"
"
1994,1,3,11,2,"
"
1995,0,8,10,3,"
"
1996,5,7,0,0,"
"
1997,6,3,10,2,"
"
1998,1,4,7,0,"
"
1999,0,3,1,1,"
"
2000,0,3,1,1,"
"
2001,0,2,13,1,"
"
2002,8,21,9,1,"
"
2003,1,7,10,5,"
"
2004,2,6,6,1,"
"
2005,0,4,16,2,"
"
2006,1,5,9,3,"
"
2007,0,5,11,6,"
"
2008,2,8,5,1,"
"
2009,2,9,1,1,"
"
2010,2,9,8,2,"
"
2011,0,6,8,1,"
"
2012,0,0,17,5,"
"
2013,0,7,4,0,"
"
2014,0,0,0,0,"
"
