Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 7 , 140 , 3629 , 506
Feb , 357 , 1578 , 3393 , 441
Mar , 37 , 1000 , 4047 , 1056
Apr , 69 , 1926 , 3756 , 1393
May , 98 , 2192 , 1397 , 65
Jun , 254 , 1588 , 3954 , 575
Jul , 259 , 2984 , 2667 , 333
Aug , 60 , 1856 , 2441 , 180
Sep , 61 , 1534 , 4929 , 681
Oct , 47 , 1222 , 3289 , 338
Nov , 100 , 460 , 4365 , 881
Dec , 4323 , 4220 , 2624 , 285
