Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 47 , 299 , 3585 , 530
Feb , 16 , 195 , 1560 , 172
Mar , 32 , 869 , 9849 , 3899
Apr , 7 , 562 , 4232 , 961
May , 27 , 720 , 4236 , 880
Jun , 203 , 1728 , 4941 , 1032
Jul , 21 , 941 , 6676 , 1293
Aug , 16 , 1399 , 4108 , 505
Sep , 11 , 1237 , 4703 , 414
Oct , 194 , 3057 , 2449 , 203
Nov , 27 , 446 , 2830 , 285
Dec , 35 , 349 , 4323 , 1080
