Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 2281 , 5233 , 431 , 48
Feb , 106 , 1294 , 3703 , 252
Mar , 29 , 906 , 2613 , 372
Apr , 136 , 1496 , 4960 , 566
May , 89 , 1734 , 3383 , 294
Jun , 106 , 2014 , 2723 , 180
Jul , 34 , 1563 , 3949 , 517
Aug , 63 , 2340 , 2787 , 211
Sep , 6 , 946 , 2470 , 165
Oct , 41 , 821 , 1084 , 274
Nov , 1448 , 2261 , 4209 , 357
Dec , 691 , 2151 , 3269 , 297
