Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 30 , 417 , 2411 , 232
Feb , 5 , 128 , 3611 , 292
Mar , 88 , 711 , 1596 , 48
Apr , 284 , 2205 , 3443 , 497
May , 247 , 2910 , 2466 , 223
Jun , 209 , 3060 , 1530 , 295
Jul , 292 , 4475 , 1505 , 70
Aug , 745 , 6398 , 1591 , 135
Sep , 271 , 1986 , 813 , 9
Oct , 187 , 1541 , 2244 , 235
Nov , 268 , 1803 , 924 , 48
Dec , 116 , 1025 , 800 , 33
