Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 1376 , 2697 , 3202 , 455
Feb , 1188 , 3221 , 2007 , 120
Mar , 734 , 3164 , 1678 , 202
Apr , 298 , 2898 , 1139 , 37
May , 182 , 2941 , 528 , 13
Jun , 143 , 1670 , 2437 , 509
Jul , 498 , 4007 , 1452 , 110
Aug , 99 , 2127 , 2089 , 185
Sep , 358 , 3556 , 3117 , 446
Oct , 1493 , 2563 , 3737 , 636
Nov , 165 , 1312 , 2131 , 552
Dec , 61 , 674 , 2794 , 543
