Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 340 , 1547 , 2783 , 656
Feb , 538 , 2706 , 1209 , 47
Mar , 462 , 1507 , 7061 , 1288
Apr , 1811 , 4370 , 2008 , 290
May , 15 , 825 , 2071 , 131
Jun , 57 , 1160 , 1988 , 158
Jul , 31 , 1426 , 3273 , 444
Aug , 17 , 1160 , 6107 , 1179
Sep , 66 , 1099 , 3858 , 484
Oct , 23 , 775 , 5720 , 1834
Nov , 59 , 983 , 2237 , 93
Dec , 59 , 296 , 2590 , 482
