Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 651 , 2910 , 2676 , 492
Feb , 214 , 1482 , 544 , 13
Mar , 3 , 366 , 1900 , 146
Apr , 580 , 3299 , 1301 , 80
May , 27 , 2480 , 1413 , 150
Jun , 52 , 1707 , 2038 , 229
Jul , 25 , 1851 , 1489 , 83
Aug , 53 , 1972 , 1971 , 267
Sep , 53 , 1740 , 2921 , 481
Oct , 14 , 578 , 2896 , 77
Nov , 57 , 934 , 2890 , 165
Dec , 347 , 1205 , 2193 , 282
