Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 439 , 1600 , 2491 , 229
Feb , 137 , 838 , 2499 , 347
Mar , 1086 , 3287 , 2088 , 124
Apr , 230 , 2385 , 3056 , 611
May , 18 , 1151 , 2073 , 199
Jun , 142 , 2590 , 2875 , 323
Jul , 100 , 3448 , 1957 , 292
Aug , 222 , 2284 , 2095 , 129
Sep , 42 , 1061 , 1489 , 61
Oct , 559 , 4130 , 1469 , 270
Nov , 34 , 158 , 2607 , 154
Dec , 381 , 1555 , 541 , 107
