Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 160 , 1138 , 2960 , 447
Feb , 153 , 361 , 3568 , 379
Mar , 68 , 999 , 1293 , 163
Apr , 168 , 2319 , 1919 , 131
May , 188 , 2109 , 950 , 36
Jun , 221 , 2314 , 2409 , 101
Jul , 131 , 2125 , 4129 , 576
Aug , 56 , 1291 , 2878 , 377
Sep , 118 , 2488 , 2726 , 121
Oct , 39 , 1474 , 1213 , 30
Nov , 1 , 233 , 6779 , 865
Dec , 26 , 307 , 3000 , 531
