Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 39 , 701 , 838 , 42
Feb , 56 , 861 , 1714 , 158
Mar , 59 , 725 , 884 , 49
Apr , 62 , 1406 , 3874 , 621
May , 56 , 965 , 3118 , 450
Jun , 168 , 2769 , 2156 , 196
Jul , 107 , 2050 , 2870 , 212
Aug , 8 , 731 , 4217 , 789
Sep , 182 , 1961 , 1777 , 130
Oct , 266 , 1904 , 2060 , 203
Nov , 262 , 877 , 5314 , 573
Dec , 43 , 281 , 3519 , 1173
