Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 15 , 309 , 2677 , 953
Feb , 322 , 1512 , 4308 , 576
Mar , 990 , 2956 , 3224 , 236
Apr , 474 , 2153 , 1252 , 59
May , 89 , 2035 , 1835 , 86
Jun , 270 , 2915 , 2008 , 446
Jul , 192 , 2242 , 3124 , 553
Aug , 27 , 935 , 5488 , 478
Sep , 919 , 3160 , 2833 , 369
Oct , 68 , 1118 , 2244 , 175
Nov , 228 , 1448 , 2134 , 124
Dec , 230 , 1658 , 3408 , 559
