Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 1977 , 4426 , 2281 , 300
Feb , 316 , 1243 , 1327 , 70
Mar , 47 , 1241 , 509 , 46
Apr , 180 , 2829 , 2879 , 870
May , 220 , 2589 , 2601 , 159
Jun , 305 , 2594 , 3455 , 774
Jul , 202 , 3059 , 2061 , 157
Aug , 23 , 1178 , 2602 , 232
Sep , 242 , 4055 , 3807 , 366
Oct , 219 , 2716 , 2577 , 103
Nov , 1367 , 2330 , 1053 , 46
Dec , 111 , 695 , 3130 , 590
