Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 88 , 678 , 3558 , 1130
Feb , 489 , 2195 , 1297 , 67
Mar , 447 , 2613 , 4416 , 1132
Apr , 117 , 2085 , 2403 , 171
May , 1282 , 5581 , 2836 , 275
Jun , 203 , 2660 , 1206 , 73
Jul , 619 , 4851 , 923 , 36
Aug , 280 , 4814 , 1507 , 82
Sep , 727 , 3198 , 1379 , 116
Oct , 79 , 1708 , 2948 , 238
Nov , 261 , 1738 , 1504 , 98
Dec , 296 , 1849 , 2404 , 212
