Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 256 , 698 , 2773 , 287
Feb , 4282 , 4252 , 2692 , 568
Mar , 1571 , 4552 , 4129 , 894
Apr , 308 , 2470 , 4890 , 1250
May , 401 , 2992 , 3160 , 308
Jun , 98 , 2194 , 1419 , 115
Jul , 32 , 1513 , 2856 , 255
Aug , 224 , 3014 , 1774 , 160
Sep , 388 , 4325 , 2291 , 128
Oct , 397 , 3292 , 2593 , 127
Nov , 570 , 2598 , 2832 , 251
Dec , 5825 , 5580 , 1451 , 238
