Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 582 , 1388 , 3403 , 1029
Feb , 15 , 537 , 343 , 15
Mar , 94 , 1287 , 1316 , 54
Apr , 466 , 3930 , 1803 , 226
May , 976 , 4048 , 2856 , 298
Jun , 63 , 1423 , 3348 , 594
Jul , 147 , 2851 , 3295 , 340
Aug , 41 , 1314 , 2394 , 167
Sep , 40 , 1102 , 5289 , 914
Oct , 110 , 1425 , 2484 , 283
Nov , 811 , 3089 , 915 , 60
Dec , 810 , 2426 , 2126 , 475
