Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 1554 , 3652 , 2873 , 249
Feb , 416 , 2011 , 2725 , 359
Mar , 543 , 1530 , 4046 , 237
Apr , 624 , 3220 , 2228 , 284
May , 15 , 1555 , 2158 , 179
Jun , 277 , 3955 , 1269 , 108
Jul , 941 , 5093 , 1741 , 160
Aug , 51 , 2230 , 2044 , 195
Sep , 353 , 2533 , 1561 , 46
Oct , 981 , 4443 , 1551 , 31
Nov , 180 , 2036 , 789 , 176
Dec , 2325 , 3894 , 1870 , 244
