Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 2198 , 2922 , 1583 , 64
Feb , 640 , 2778 , 2009 , 449
Mar , 30 , 609 , 2890 , 160
Apr , 153 , 1565 , 3913 , 709
May , 233 , 2063 , 1542 , 79
Jun , 10 , 910 , 4173 , 752
Jul , 45 , 2029 , 1886 , 197
Aug , 99 , 2041 , 1976 , 179
Sep , 31 , 1162 , 1438 , 83
Oct , 7 , 749 , 1834 , 35
Nov , 301 , 1553 , 2378 , 238
Dec , 11 , 171 , 2811 , 194
