Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 100 , 1732 , 2059 , 254
Feb , 48 , 989 , 449 , 21
Mar , 391 , 2300 , 938 , 31
Apr , 277 , 2625 , 2032 , 54
May , 457 , 2524 , 4296 , 700
Jun , 230 , 3380 , 3013 , 216
Jul , 37 , 2117 , 2564 , 256
Aug , 487 , 6196 , 2746 , 817
Sep , 42 , 2538 , 2547 , 141
Oct , 32 , 2200 , 1931 , 114
Nov , 1929 , 3377 , 3985 , 584
Dec , 842 , 1836 , 2975 , 603
