Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 160 , 1061 , 3083 , 444
Feb , 192 , 1343 , 1263 , 172
Mar , 975 , 2712 , 2556 , 288
Apr , 334 , 3729 , 1810 , 203
May , 32 , 1349 , 3376 , 656
Jun , 184 , 2576 , 1429 , 145
Jul , 25 , 1025 , 4092 , 403
Aug , 21 , 667 , 4156 , 465
Sep , 135 , 1691 , 2531 , 204
Oct , 257 , 1251 , 4182 , 448
Nov , 210 , 1500 , 4150 , 749
Dec , 21 , 231 , 1512 , 58
