Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 845 , 2079 , 2862 , 158
Feb , 78 , 795 , 379 , 6
Mar , 743 , 4420 , 939 , 41
Apr , 78 , 576 , 1363 , 92
May , 50 , 1358 , 2974 , 521
Jun , 509 , 4379 , 3700 , 416
Jul , 44 , 1670 , 2988 , 144
Aug , 47 , 2019 , 3320 , 201
Sep , 2 , 799 , 1531 , 59
Oct , 401 , 4316 , 2608 , 235
Nov , 398 , 2208 , 1498 , 74
Dec , 67 , 567 , 1688 , 109
