Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 116 , 956 , 2113 , 922
Feb , 86 , 1012 , 1373 , 257
Mar , 281 , 1233 , 786 , 34
Apr , 226 , 2204 , 1165 , 77
May , 133 , 2326 , 2079 , 351
Jun , 68 , 1661 , 2851 , 399
Jul , 10 , 1657 , 1030 , 60
Aug , 23 , 1866 , 2191 , 238
Sep , 22 , 543 , 2694 , 78
Oct , 381 , 2565 , 2253 , 100
Nov , 412 , 1628 , 3565 , 918
Dec , 456 , 2288 , 2147 , 217
