Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 31 , 627 , 3589 , 644
Feb , 2 , 165 , 5002 , 1930
Mar , 16 , 319 , 2549 , 419
Apr , 48 , 1161 , 1523 , 91
May , 12 , 789 , 4949 , 981
Jun , 101 , 2410 , 2068 , 128
Jul , 55 , 2086 , 2314 , 174
Aug , 15 , 1296 , 3990 , 346
Sep , 529 , 3571 , 5194 , 948
Oct , 149 , 2627 , 2783 , 208
Nov , 617 , 3214 , 1863 , 362
Dec , 853 , 3630 , 456 , 30
