Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 124 , 1286 , 1712 , 210
Feb , 115 , 525 , 1565 , 43
Mar , 96 , 1130 , 2246 , 156
Apr , 723 , 2724 , 6077 , 1069
May , 11 , 740 , 4162 , 770
Jun , 17 , 901 , 2766 , 182
Jul , 323 , 2996 , 2521 , 123
Aug , 105 , 3623 , 3368 , 426
Sep , 4 , 457 , 1327 , 126
Oct , 37 , 2258 , 2302 , 195
Nov , 199 , 1061 , 4962 , 462
Dec , 230 , 1191 , 3024 , 278
