Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 555 , 1982 , 1772 , 542
Feb , 100 , 826 , 997 , 55
Mar , 9 , 227 , 5862 , 808
Apr , 62 , 1143 , 2361 , 264
May , 237 , 2233 , 3321 , 248
Jun , 31 , 1535 , 1848 , 83
Jul , 133 , 3108 , 1307 , 89
Aug , 613 , 5316 , 1629 , 72
Sep , 50 , 879 , 2081 , 63
Oct , 19 , 753 , 1782 , 36
Nov , 256 , 688 , 2199 , 355
Dec , 482 , 1825 , 2217 , 288
