Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 217 , 1015 , 3102 , 472
Feb , 225 , 1471 , 1360 , 179
Mar , 324 , 2780 , 876 , 47
Apr , 1865 , 5470 , 1295 , 38
May , 153 , 1755 , 2428 , 338
Jun , 93 , 1994 , 974 , 43
Jul , 132 , 2816 , 1919 , 203
Aug , 42 , 2208 , 1660 , 160
Sep , 122 , 3628 , 1309 , 67
Oct , 239 , 1704 , 2921 , 374
Nov , 722 , 3054 , 6162 , 829
Dec , 372 , 1100 , 2810 , 650
