Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 158 , 1344 , 5079 , 852
Feb , 2 , 176 , 2364 , 125
Mar , 51 , 1201 , 1765 , 166
Apr , 16 , 598 , 1419 , 145
May , 603 , 4041 , 2106 , 217
Jun , 35 , 1557 , 3126 , 319
Jul , 85 , 1308 , 4179 , 343
Aug , 16 , 1058 , 3129 , 218
Sep , 4 , 466 , 3364 , 238
Oct , 67 , 1292 , 4613 , 1130
Nov , 276 , 1515 , 4222 , 410
Dec , 303 , 1200 , 2165 , 206
