Month,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
Jan , 356 , 1091 , 2128 , 98
Feb , 285 , 1796 , 2548 , 139
Mar , 2212 , 2412 , 365 , 11
Apr , 112 , 1230 , 3167 , 505
May , 30 , 1541 , 1977 , 303
Jun , 193 , 2356 , 3082 , 544
Jul , 10 , 831 , 7372 , 1604
Aug , 43 , 1724 , 4111 , 370
Sep , 36 , 1430 , 4422 , 397
Oct , 351 , 3967 , 3923 , 434
Nov , 96 , 1227 , 3795 , 321
Dec , 597 , 1775 , 4779 , 1061
