Year,Strong-Cold,Weak-Cold,Weak-Hot,Strong-Hot
1980-8 ,43,1724,4111,370
1980-9 ,36,1430,4422,397
1980-10 ,351,3967,3923,434
1980-11 ,96,1227,3795,321
1980-12 ,597,1775,4779,1061
1981-1 ,368,1349,3492,415
1981-2 ,599,2278,6353,1210
1981-3 ,1,281,1815,250
1981-4 ,3,432,3654,545
1981-5 ,42,2417,1319,45
1981-6 ,36,956,4274,444
1981-7 ,102,2373,2772,222
1981-8 ,29,1895,1608,221
1981-9 ,128,2346,1365,28
1981-10 ,446,2446,1970,103
1981-11 ,25,743,2468,125
1981-12 ,399,1387,1909,187
1982-1 ,2460,4565,1426,129
1982-2 ,1690,3262,3383,357
1982-3 ,184,1866,2445,498
1982-4 ,1974,5584,1257,39
1982-5 ,43,1275,1777,195
1982-6 ,112,2991,903,61
1982-7 ,131,2360,1331,66
1982-8 ,335,2507,1642,58
1982-9 ,130,2908,1899,106
1982-10 ,114,2437,2558,100
1982-11 ,100,1516,2192,576
1982-12 ,84,515,4642,2866
1983-1 ,44,426,1511,111
1983-2 ,8,357,2308,140
1983-3 ,7,599,2173,68
1983-4 ,548,3967,844,29
1983-5 ,137,2836,1514,270
1983-6 ,277,2687,1431,72
1983-7 ,230,3239,3642,594
1983-8 ,26,1011,6275,1041
1983-9 ,642,4843,5177,1087
1983-10 ,15,650,2424,208
1983-11 ,143,1178,3395,212
1983-12 ,8673,5048,927,67
1984-1 ,1259,2993,1495,176
1984-2 ,63,713,3027,300
1984-3 ,805,2742,1053,53
1984-4 ,23,1122,1794,97
1984-5 ,82,2472,2917,357
1984-6 ,123,2408,2006,153
1984-7 ,61,2587,1549,82
1984-8 ,44,1316,2388,112
1984-9 ,1249,5670,2161,211
1984-10 ,405,2860,2600,87
1984-11 ,84,1377,1139,134
1984-12 ,164,843,4604,932
1985-1 ,1452,2657,872,178
1985-2 ,2510,4404,2411,414
1985-3 ,87,1142,2048,465
1985-4 ,228,1447,4703,1040
1985-5 ,19,988,1962,172
1985-6 ,191,2957,2318,209
1985-7 ,32,1992,2291,121
1985-8 ,48,2521,1055,56
1985-9 ,855,4436,3771,632
1985-10 ,191,1423,1743,63
1985-11 ,3912,4280,3293,156
1985-12 ,1162,4308,970,123
1986-1 ,214,636,3696,229
1986-2 ,253,1440,6115,850
1986-3 ,312,1657,5586,1388
1986-4 ,165,956,2850,303
1986-5 ,94,1957,2356,666
1986-6 ,46,952,2547,177
1986-7 ,104,2289,3408,425
1986-8 ,1347,2866,1455,108
1986-9 ,222,2737,1671,28
1986-10 ,26,851,2909,1290
